  b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52
a
24;68;48;42;56;63;48;60;48;65;58;64;54;57;42;55;60;58;63;56;50;40;48;61;43;55;52;51;51;52;55;43;61;48;40;50;56;63;58;60;55;42;57;54;64;58;65;48;60;48;63;56;42;48;
25;40;51;53;45;60;60;58;47;44;66;53;57;48;52;50;60;68;43;45;50;56;66;60;54;65;52;48;48;52;65;54;60;66;56;50;45;43;68;60;50;52;48;57;53;66;44;47;58;60;60;45;53;51;
26;50;-1;64;67;48;50;57;44;66;60;54;59;46;52;48;63;64;59;55;46;60;42;52;51;45;45;56;56;45;45;51;52;42;60;46;55;59;64;63;48;52;46;59;54;60;66;44;57;50;48;67;64;-1;
27;58;57;64;44;60;48;66;44;63;58;53;62;49;62;60;52;41;48;54;56;49;51;63;-1;56;42;45;45;42;56;-1;63;51;49;56;54;48;41;52;60;62;49;62;53;58;63;44;66;48;60;44;64;57;
28;68;54;61;40;58;42;42;55;56;48;63;60;51;58;48;60;63;52;55;56;65;50;43;57;48;64;48;48;64;48;57;43;50;65;56;55;52;63;60;48;58;51;60;63;48;56;55;42;42;58;40;61;54;
29;40;65;60;50;53;50;60;66;56;60;52;51;54;58;45;57;52;68;44;66;45;48;53;60;47;43;48;48;43;47;60;53;48;45;66;44;68;52;57;45;58;54;51;52;60;56;66;60;50;53;50;60;65;
30;50;57;46;55;45;51;59;59;50;-1;44;52;46;45;52;64;54;48;64;66;48;60;56;42;63;60;67;67;60;63;42;56;60;48;66;64;48;54;64;52;45;46;52;44;-1;50;59;59;51;45;55;46;57;
31;50;44;48;42;45;55;59;48;67;54;59;45;52;63;66;-1;57;52;60;56;46;46;50;64;60;64;51;51;64;60;64;50;46;46;56;60;52;57;-1;66;63;52;45;59;54;67;48;59;55;45;42;48;44;
32;50;64;42;50;59;56;54;57;52;63;-1;59;60;48;46;45;60;44;51;48;64;55;46;67;52;45;66;66;45;52;67;46;55;64;48;51;44;60;45;46;48;60;59;-1;63;52;57;54;56;59;50;42;64;
33;58;42;44;63;66;56;58;41;49;62;52;53;54;44;51;60;56;57;45;64;-1;48;49;63;48;62;60;60;62;48;63;49;48;-1;64;45;57;56;60;51;44;54;53;52;62;49;41;58;56;66;63;44;42;
34;58;58;54;45;48;63;57;53;56;42;41;44;64;62;49;56;52;66;44;49;51;-1;60;48;60;62;63;63;62;60;48;60;-1;51;49;44;66;52;56;49;62;64;44;41;42;56;53;57;63;48;45;54;58;
35;50;52;56;48;-1;46;45;63;64;59;45;64;67;54;51;59;48;60;52;55;50;66;42;46;57;44;60;60;44;57;46;42;66;50;55;52;60;48;59;51;54;67;64;45;59;64;63;45;46;-1;48;56;52;
36;68;63;65;57;58;40;55;52;48;63;42;58;48;48;56;48;54;60;50;43;51;61;56;55;64;60;42;42;60;64;55;56;61;51;43;50;60;54;48;56;48;48;58;42;63;48;52;55;40;58;57;65;63;
37;40;58;48;45;65;54;43;57;60;51;47;52;50;52;60;68;53;60;53;44;50;56;48;66;60;66;45;45;66;60;66;48;56;50;44;53;60;53;68;60;52;50;52;47;51;60;57;43;54;65;45;48;58;
38;40;57;60;56;66;53;52;65;45;47;60;60;48;68;60;58;43;52;50;45;44;50;54;48;51;53;66;66;53;51;48;54;50;44;45;50;52;43;58;60;68;48;60;60;47;45;65;52;53;66;56;60;57;
