  b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88
a
12;106;102;83;104;92;108;84;84;84;85;-1;88;90;90;91;90;100;90;84;87;79;88;83;86;81;78;88;103;99;105;76;81;102;74;103;100;82;96;72;100;89;90;89;105;76;76;105;89;90;89;100;72;96;82;100;103;74;102;81;76;105;99;103;88;78;81;86;83;88;79;87;84;90;100;90;91;90;90;88;-1;85;84;84;84;108;92;104;83;102;
13;74;75;99;97;77;106;88;102;80;96;94;84;96;92;80;-1;93;90;90;90;75;89;90;104;80;90;91;96;92;91;101;95;108;97;96;98;99;72;77;92;76;78;81;78;104;104;78;81;78;76;92;77;72;99;98;96;97;108;95;101;91;92;96;91;90;80;104;90;89;75;90;90;90;93;-1;80;92;96;84;94;96;80;102;88;106;77;97;99;75;
14;106;102;78;84;100;84;91;105;88;88;82;92;99;105;104;100;83;-1;89;90;90;89;84;81;74;102;81;88;84;72;87;90;76;90;79;96;108;103;76;83;103;86;85;90;100;100;90;85;86;103;83;76;103;108;96;79;90;76;90;87;72;84;88;81;102;74;81;84;89;90;90;89;-1;83;100;104;105;99;92;82;88;88;105;91;84;100;84;78;102;
15;74;99;77;88;80;94;96;80;93;90;75;90;80;91;92;101;108;96;99;77;76;81;104;78;78;92;72;98;97;95;91;96;90;104;89;90;90;-1;92;84;96;102;106;97;75;75;97;106;102;96;84;92;-1;90;90;89;104;90;96;91;95;97;98;72;92;78;78;104;81;76;77;99;96;108;101;92;91;80;90;75;90;93;80;96;94;80;88;77;99;
16;80;104;88;80;105;96;92;95;87;76;86;105;81;87;80;96;87;96;97;102;75;84;108;106;78;100;100;76;98;73;91;82;84;82;84;95;96;81;86;96;78;93;101;84;94;94;84;101;93;78;96;86;81;96;95;84;82;84;82;91;73;98;76;100;100;78;106;108;84;75;102;97;96;87;96;80;87;81;105;86;76;87;95;92;96;105;80;88;104;
17;100;89;107;76;98;82;92;96;104;100;98;80;75;96;80;84;85;102;88;84;74;85;99;72;93;94;96;104;84;105;94;102;78;75;87;83;99;79;84;93;96;93;100;86;84;84;86;100;93;96;93;84;79;99;83;87;75;78;102;94;105;84;104;96;94;93;72;99;85;74;84;88;102;85;84;80;96;75;80;98;100;104;96;92;82;98;76;107;89;
18;100;82;98;84;74;94;94;83;96;84;93;87;105;93;84;80;100;98;89;92;80;85;85;96;102;99;93;86;84;75;84;72;88;96;104;76;107;96;75;102;99;104;78;79;100;100;79;78;104;99;102;75;96;107;76;104;96;88;72;84;75;84;86;93;99;102;96;85;85;80;92;89;98;100;80;84;93;105;87;93;84;96;83;94;94;74;84;98;82;
19;74;106;94;-1;75;90;101;98;76;104;92;96;91;80;90;80;96;77;75;88;84;93;89;91;95;99;78;78;77;97;92;104;90;92;80;97;99;102;96;90;90;96;108;72;81;81;72;108;96;90;90;96;102;99;97;80;92;90;104;92;97;77;78;78;99;95;91;89;93;84;88;75;77;96;80;90;80;91;96;92;104;76;98;101;90;75;-1;94;106;
20;100;98;104;75;85;74;93;84;78;99;96;84;93;79;75;105;94;85;102;96;100;82;89;76;96;80;84;84;72;104;102;83;93;86;100;84;87;94;96;99;88;80;98;92;107;107;92;98;80;88;99;96;94;87;84;100;86;93;83;102;104;72;84;84;80;96;76;89;82;100;96;102;85;94;105;75;79;93;84;96;99;78;84;93;74;85;75;104;98;
21;100;88;99;83;102;89;84;79;87;85;107;74;84;75;84;76;85;93;78;80;98;99;96;102;96;82;72;93;94;75;92;93;100;105;80;96;94;86;84;98;104;96;84;104;100;100;104;84;96;104;98;84;86;94;96;80;105;100;93;92;75;94;93;72;82;96;102;96;99;98;80;78;93;85;76;84;75;84;74;107;85;87;79;84;89;102;83;99;88;
