   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70
a
57;72;67;-72;75;81;59;63;60;-80;62;-80;68;78;76;73;-64;78;87;73;80;70;62;-75;67;66;68;-56;78;87;66;-84;65;66;62;84;84;60;60;82;78;79;-60;78;57;66;-88;76;78;77;69;82;74;64;71;57;66;-80;71;68;66;76;-64;82;-64;84;81;85;63;69;-72;77;
58;72;82;59;57;-80;77;-64;71;70;68;68;-64;-84;69;84;-72;79;60;-88;78;82;87;66;-75;76;78;81;66;77;60;81;78;62;78;73;64;80;71;66;82;66;63;84;67;78;63;66;68;69;78;57;62;66;-56;84;65;-72;60;75;-60;-80;76;76;74;73;-80;67;-64;87;85;62;
59;-72;74;84;58;87;63;58;72;-76;80;60;-84;80;67;71;70;;75;-80;69;80;78;66;60;72;-72;81;85;-72;79;88;61;82;69;70;67;77;74;75;62;83;56;65;-72;59;63;-72;72;84;78;66;64;75;-64;69;;74;73;77;64;-60;84;64;-68;72;86;81;57;86;60;70;
60;72;-80;70;-84;79;82;76;77;62;80;66;78;69;66;-72;-80;73;87;82;77;68;69;60;87;78;60;78;71;63;63;78;-56;60;76;-80;85;59;-64;68;84;-88;66;81;81;73;66;84;66;57;84;75;76;67;62;57;71;-64;-72;78;-75;66;78;64;82;67;68;62;65;-60;74;-64;
61;-72;84;87;58;-76;60;80;71;;-80;80;66;72;81;-72;88;82;70;77;75;83;65;59;-72;84;66;75;69;74;77;-60;64;72;81;86;70;74;58;63;72;80;-84;67;70;75;69;78;60;-72;85;79;61;69;67;74;62;56;-72;63;72;78;64;-64;;73;64;84;-68;86;57;60;
62;-72;69;74;80;58;73;83;60;58;-60;-72;81;80;-68;-72;79;80;81;78;82;70;60;75;67;-80;74;;75;78;87;77;56;72;72;84;59;85;60;72;72;88;67;57;66;69;;70;-64;77;69;84;74;62;66;63;64;65;-72;-76;64;63;-72;-84;86;84;61;71;86;64;70;75;
63;-72;82;72;-72;73;-80;66;-84;-72;87;77;86;79;84;66;69;70;72;-76;83;74;69;86;81;77;69;64;80;59;63;74;60;88;64;60;;;84;80;56;84;70;81;85;64;80;75;67;63;58;75;70;61;-68;72;74;75;78;60;65;58;67;57;-72;-60;78;-64;71;-72;72;62;
64;72;66;77;67;68;69;-72;-56;82;75;78;74;81;87;64;59;66;71;63;-84;57;60;65;66;-80;66;-80;62;62;71;-80;84;68;68;84;66;78;60;76;76;60;-64;73;82;82;-64;78;-64;78;79;84;87;-60;81;73;78;85;80;57;63;70;66;69;62;-88;-72;-75;76;77;67;78;
65;-72;72;84;74;-72;78;84;81;66;58;85;64;87;-72;75;63;79;-64;58;88;69;72;61;;-76;82;74;80;69;73;60;70;77;-84;67;64;80;77;-60;67;74;84;71;75;64;70;62;-68;;83;72;75;56;86;-80;65;81;69;-72;57;80;59;86;78;63;60;66;-72;70;60;72;
66;-72;84;-72;84;66;85;87;75;79;58;69;61;-76;74;69;60;77;67;80;-60;74;71;64;62;;72;56;-80;81;-72;80;86;63;66;70;72;72;74;78;81;58;64;-72;63;-64;88;72;;82;80;73;70;-84;64;77;67;84;75;70;-68;83;75;86;65;69;57;59;78;60;-72;60;
67;-72;77;63;82;69;58;72;64;75;-72;80;70;73;59;61;-80;63;-68;66;74;72;-84;60;74;-72;88;75;87;64;78;77;60;60;86;;65;79;;58;84;84;67;66;80;57;69;56;-72;70;84;-60;72;70;78;-76;81;-64;83;85;71;74;64;-72;69;80;72;86;75;62;81;67;
68;-72;-76;;72;82;83;84;74;72;74;80;75;-72;69;56;78;73;86;84;60;-80;81;70;65;66;77;81;58;-84;69;85;67;-72;64;64;57;87;80;80;-72;77;59;75;-60;86;63;67;78;79;74;63;-64;84;60;58;71;66;88;75;-72;69;64;70;72;70;60;61;62;72;;-68;
69;-72;-72;70;77;88;84;63;75;-60;82;87;72;69;64;70;58;78;78;72;77;-76;64;60;81;75;60;-64;-72;86;83;80;;85;70;65;71;73;79;74;59;;64;61;58;-72;-80;84;69;63;84;80;-68;67;72;66;66;86;74;80;75;72;57;62;-84;69;81;60;56;67;74;-72;
70;-72;75;63;-72;60;84;70;-64;80;77;-72;-68;88;86;67;84;83;72;63;80;66;75;;66;-60;85;86;82;70;74;87;65;80;72;71;75;69;73;72;64;79;57;70;74;62;58;59;-84;78;;69;78;64;81;72;61;60;77;58;56;-76;-72;67;64;-80;74;60;84;-72;81;69;
