   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60
a
29;-50;62;-64;-64;61;52;61;60;64;54;72;74;-72;63;54;76;-63;77;65;59;49;56;62;56;-68;69;-54;73;58;52;-52;-52;52;58;73;-54;69;-68;56;62;56;49;59;65;77;-63;76;54;63;-72;74;72;54;64;60;61;52;61;-64;-64;62;
30;74;-56;61;50;70;-60;62;48;70;66;63;75;47;64;-72;63;59;65;72;-72;60;61;68;-60;51;52;70;68;62;55;-52;-52;55;62;68;70;52;51;-60;68;61;60;-72;72;65;59;63;-72;64;47;75;63;66;70;48;62;-60;70;50;61;-56;
31;-50;49;56;62;59;62;-64;65;56;-64;77;-68;61;-63;69;52;76;-54;61;54;73;60;63;58;64;-72;52;54;74;-52;72;72;-52;74;54;52;-72;64;58;63;60;73;54;61;-54;76;52;69;-63;61;-68;77;-64;56;65;-64;62;59;62;56;49;
32;74;50;62;66;47;63;72;61;51;68;-52;62;52;68;-72;59;64;63;48;70;-56;61;-60;70;75;-72;65;60;-60;70;55;55;70;-60;60;65;-72;75;70;-60;61;-56;70;48;63;64;59;-72;68;52;62;-52;68;51;61;72;63;47;66;62;50;
33;74;66;72;68;52;59;48;61;75;60;55;-60;-72;-60;70;64;68;-52;61;47;50;62;63;51;62;-72;63;-56;70;65;70;70;65;70;-56;63;-72;62;51;63;62;50;47;61;-52;68;64;70;-60;-72;-60;55;60;75;61;48;59;52;68;72;66;
34;-52;-64;-76;70;72;66;57;;55;50;68;48;67;72;71;60;70;-68;68;58;73;-54;58;60;57;57;62;55;49;-64;55;55;-64;49;55;62;57;57;60;58;-54;73;58;68;-68;70;60;71;72;67;48;68;50;55;;57;66;72;70;-76;-64;
35;-50;-64;61;54;-72;76;65;56;-68;73;-52;58;69;62;59;-63;63;72;60;61;62;-64;52;64;74;54;77;49;56;-54;52;52;-54;56;49;77;54;74;64;52;-64;62;61;60;72;63;-63;59;62;69;58;-52;73;-68;56;65;76;-72;54;61;-64;
36;-72;75;58;64;56;56;64;52;51;69;67;54;69;-48;62;;70;57;54;-56;76;66;67;69;-60;-60;52;67;74;66;53;53;66;74;67;52;-60;-60;69;67;66;76;-56;54;57;70;;62;-48;69;54;67;69;51;52;64;56;56;64;58;75;
37;-50;49;56;62;59;62;-64;65;56;-64;77;-68;61;-63;69;52;76;-54;61;54;73;60;63;58;64;-72;52;54;74;-52;72;72;-52;74;54;52;-72;64;58;63;60;73;54;61;-54;76;52;69;-63;61;-68;77;-64;56;65;-64;62;59;62;56;49;
38;-50;54;65;73;69;-63;60;-64;74;49;52;56;54;52;61;63;62;-52;56;-72;-64;61;76;-68;58;59;72;62;64;77;-54;-54;77;64;62;72;59;58;-68;76;61;-64;-72;56;-52;62;63;61;52;54;56;52;49;74;-64;60;-63;69;73;65;54;
39;-72;69;54;67;-60;70;52;58;54;76;66;69;62;56;56;-48;67;53;66;69;64;64;;-60;74;-56;67;75;51;57;52;52;57;51;75;67;-56;74;-60;;64;64;69;66;53;67;-48;56;56;62;69;66;76;54;58;52;70;-60;67;54;69;
40;74;50;62;66;47;63;72;61;51;68;-52;62;52;68;-72;59;64;63;48;70;-56;61;-60;70;75;-72;65;60;-60;70;55;55;70;-60;60;65;-72;75;70;-60;61;-56;70;48;63;64;59;-72;68;52;62;-52;68;51;61;72;63;47;66;62;50;
41;-72;75;58;64;56;56;64;52;51;69;67;54;69;-48;62;;70;57;54;-56;76;66;67;69;-60;-60;52;67;74;66;53;53;66;74;67;52;-60;-60;69;67;66;76;-56;54;57;70;;62;-48;69;54;67;69;51;52;64;56;56;64;58;75;
42;-52;55;;73;71;72;-54;57;49;-64;62;55;58;60;67;58;66;-64;-76;57;50;68;70;48;60;72;55;70;57;68;-68;-68;68;57;70;55;72;60;48;70;68;50;57;-76;-64;66;58;67;60;58;55;62;-64;49;57;-54;72;71;73;;55;
43;-50;73;60;49;54;63;56;61;58;62;-54;64;59;76;-72;62;52;52;-64;69;54;65;-63;74;56;61;-52;-64;-68;72;77;77;72;-68;-64;-52;61;56;74;-63;65;54;69;-64;52;52;62;-72;76;59;64;-54;62;58;61;56;63;54;49;60;73;
44;74;68;48;60;-72;64;61;62;62;-56;70;70;-72;63;47;68;-60;55;61;52;66;72;59;75;-60;70;-52;50;51;63;65;65;63;51;50;-52;70;-60;75;59;72;66;52;61;55;-60;68;47;63;-72;70;70;-56;62;62;61;64;-72;60;48;68;
45;-72;75;58;64;56;56;64;52;51;69;67;54;69;-48;62;;70;57;54;-56;76;66;67;69;-60;-60;52;67;74;66;53;53;66;74;67;52;-60;-60;69;67;66;76;-56;54;57;70;;62;-48;69;54;67;69;51;52;64;56;56;64;58;75;
46;-72;76;66;75;-56;67;58;54;69;64;57;-60;56;70;-60;56;;52;64;62;67;52;-48;74;51;69;66;69;54;53;67;67;53;54;69;66;69;51;74;-48;52;67;62;64;52;;56;-60;70;56;-60;57;64;69;54;58;67;-56;75;66;76;
47;-52;50;68;55;57;70;;-76;48;73;-64;60;71;66;72;72;58;55;-54;67;70;57;60;57;49;58;68;-64;55;-68;62;62;-68;55;-64;68;58;49;57;60;57;70;67;-54;55;58;72;72;66;71;60;-64;73;48;-76;;70;57;55;68;50;
