   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82
a
34;-84;72;91;99;78;68;71;66;-68;85;79;76;86;74;78;88;78;-96;69;75;85;85;80;78;93;80;93;78;82;101;72;84;78;95;-88;-72;86;-80;88;-72;87;;;81;-96;80;-88;82;-96;-80;73;90;84;96;67;86;90;75;88;75;90;88;83;83;93;99;-72;90;80;90;94;82;92;89;83;-100;102;97;100;90;69;77;96;
35;-84;86;93;86;-96;90;92;72;74;80;-80;-80;88;89;91;78;93;88;73;83;83;99;88;78;-72;90;83;-100;78;78;82;87;84;93;102;68;-96;101;;96;99;97;71;69;72;;67;-72;100;66;75;84;81;86;90;90;-68;85;78;-96;90;80;69;85;85;95;80;75;90;77;79;80;-88;-88;88;94;96;76;78;-72;82;75;82;
36;84;87;90;-80;93;70;88;95;70;94;68;78;100;96;-96;79;78;92;89;73;75;72;84;81;-84;87;-72;-88;93;69;82;-80;72;90;98;92;-76;98;91;91;75;84;84;93;77;77;70;-92;76;70;78;96;-88;86;99;75;-80;-96;81;-84;87;84;96;93;95;79;76;90;89;-72;72;68;90;100;74;98;73;80;98;75;-88;78;81;
37;84;84;91;92;98;-80;98;100;100;96;69;95;89;70;-84;90;93;84;73;-88;81;-76;-96;98;86;-80;94;72;76;-72;93;79;93;72;81;87;91;78;80;75;90;78;90;78;93;88;90;77;81;87;96;75;89;75;-96;92;96;74;-88;82;70;-72;-92;87;-80;95;84;75;78;-84;98;79;73;99;72;68;68;70;-88;70;76;77;84;
38;84;78;84;90;77;75;76;80;70;78;-88;91;70;87;68;81;68;72;72;93;99;79;73;93;79;-72;98;76;-84;72;78;94;75;-80;84;86;95;98;-80;-96;87;-76;-92;81;-72;-88;70;73;82;84;-88;93;74;90;96;-84;92;70;-96;89;75;95;89;69;75;96;96;100;87;100;81;98;77;-80;90;98;88;92;93;91;78;84;90;
39;-84;-96;68;-80;79;67;88;75;85;93;80;90;72;83;-72;90;87;72;80;71;73;76;86;78;90;85;99;93;94;84;-100;86;69;;91;-88;66;90;86;90;-96;88;80;-72;78;82;78;102;-80;77;;99;82;-68;84;74;75;69;83;78;90;82;92;95;97;88;96;81;78;-96;85;96;78;88;75;83;93;80;101;89;-88;100;-72;
40;84;93;-80;87;69;-96;90;82;81;-80;-80;-84;93;72;87;70;90;84;88;98;96;95;92;93;70;-76;95;94;98;79;68;91;76;78;91;90;100;75;89;96;84;-72;-96;84;72;79;93;68;78;77;90;92;77;100;89;70;74;73;-92;98;75;76;73;72;70;80;84;78;98;81;96;75;-84;-88;-88;87;86;78;-72;99;81;-88;75;
41;84;72;-96;77;-80;89;70;98;96;70;-76;81;68;-88;90;99;84;93;79;90;90;-84;70;90;75;95;80;95;96;91;87;100;81;-72;-80;93;82;92;93;74;84;76;92;84;94;75;76;86;75;-88;-96;87;68;81;77;72;73;88;73;93;78;98;-84;78;78;89;75;84;69;78;-80;100;87;-92;98;72;70;98;79;-88;91;-72;96;
42;-84;90;75;94;88;71;75;80;102;-96;86;83;84;96;73;69;90;-80;68;90;93;-100;81;76;83;72;77;-80;-96;80;86;78;86;78;83;;79;88;101;69;-96;78;90;-72;99;67;80;89;;85;90;82;90;82;88;-72;-88;91;96;85;92;87;-68;75;78;100;-88;78;99;95;72;84;85;82;-72;66;88;93;97;80;74;93;78;
43;-84;-80;83;82;99;75;90;79;82;72;88;-100;101;-72;85;75;76;-96;91;-72;102;72;90;85;88;86;-80;99;87;97;84;80;80;75;74;73;78;;100;78;90;78;90;78;90;68;;90;95;94;93;88;88;84;71;81;69;-88;82;80;83;78;96;66;-96;77;-72;92;93;83;-96;67;-68;80;96;86;89;78;93;69;86;85;-88;
44;84;70;79;95;82;75;77;78;87;-72;98;84;95;-80;84;68;98;-80;-88;89;90;90;81;76;-96;93;69;98;77;68;-84;87;74;75;88;75;72;72;-76;90;96;92;76;72;78;-92;96;96;93;80;93;94;81;-84;100;91;70;99;75;-72;92;87;78;78;79;-80;-88;70;100;84;-88;73;84;70;-96;81;90;91;93;86;73;89;98;
45;-84;75;-72;76;94;-88;80;77;75;95;85;80;-96;85;90;86;84;66;-72;;69;97;96;101;68;93;87;78;-100;90;78;99;83;88;78;89;-80;80;72;90;86;86;82;82;78;96;88;-88;79;90;80;85;69;90;78;-68;90;81;75;100;67;72;71;99;;-96;102;84;82;78;83;-72;88;83;73;93;91;88;-80;74;92;-96;93;
46;-84;-96;74;88;93;83;-72;78;84;-96;99;72;100;81;-68;90;85;90;-88;96;82;86;90;80;89;88;99;90;78;93;101;97;;66;86;85;80;95;77;-88;76;75;93;92;-80;91;73;88;83;82;102;;71;67;75;90;78;69;80;79;88;78;82;86;72;-80;78;83;78;-100;87;68;96;69;-72;84;90;-96;85;75;80;94;-72;
