   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
a
28;-68;84;65;-64;64;61;73;56;60;66;75;78;76;-76;58;54;76;69;70;63;61;60;83;-64;-80;-72;73;66;59;-64;70;56;70;81;55;66;80;66;-72;77;70;63;64;-56;-72;53;76;75;73;66;67;60;82;78;-60;60;58;61;70;76;80;63;75;72;-72;71;52;
29;68;-56;-72;65;-56;76;55;58;79;62;78;-54;70;-63;67;64;72;74;81;80;72;-72;65;66;71;82;77;68;;60;-60;70;57;61;75;79;66;-76;76;;68;59;54;65;70;71;-64;64;56;55;62;64;72;69;73;66;82;58;74;57;78;-81;60;-80;71;-64;-80;
30;-68;54;70;53;80;60;-64;-72;78;84;76;56;76;63;66;-80;77;-60;65;69;70;75;75;75;-72;70;60;-64;70;81;73;72;78;73;63;58;64;63;55;66;-72;76;66;64;61;61;61;66;67;71;-76;59;-56;70;73;60;80;60;52;58;-64;-72;76;56;83;66;82;
31;-68;84;65;-64;64;61;73;56;60;66;75;78;76;-76;58;54;76;69;70;63;61;60;83;-64;-80;-72;73;66;59;-64;70;56;70;81;55;66;80;66;-72;77;70;63;64;-56;-72;53;76;75;73;66;67;60;82;78;-60;60;58;61;70;76;80;63;75;72;-72;71;52;
32;-68;-72;67;60;81;70;76;63;52;-80;66;56;70;61;54;70;71;-64;73;73;56;58;58;77;-72;83;75;61;70;60;-76;-72;72;60;76;64;-64;-60;76;66;75;61;53;-64;59;78;78;80;63;63;-72;65;66;82;75;66;80;70;-56;84;73;60;66;55;76;69;64;
33;68;68;-63;69;77;-80;;70;72;82;-64;76;-54;64;71;71;-76;78;62;66;-80;66;62;55;65;60;79;79;56;-72;-81;75;58;64;72;78;61;55;-64;80;57;57;76;71;81;74;70;-56;70;74;58;-60;65;65;72;82;60;-72;54;64;66;;-56;59;67;73;68;
34;-68;-72;63;70;60;82;66;76;-56;70;66;55;56;59;-72;83;63;76;-76;75;56;64;84;71;75;76;58;78;67;75;-72;63;-72;66;70;-64;73;-64;61;69;58;78;60;61;65;52;72;80;61;-60;60;73;53;64;77;80;81;70;66;-80;60;70;54;76;66;73;-64;
35;68;71;56;76;60;69;78;75;74;64;;-80;72;70;-56;82;55;55;-60;73;-54;79;57;72;68;71;-72;71;-72;77;62;58;70;66;70;66;78;74;59;-64;65;-64;65;68;64;79;57;82;-63;-76;-81;81;54;-80;66;64;-56;;72;62;61;58;67;76;60;80;65;
36;68;62;81;68;66;71;73;-80;76;67;66;57;59;62;57;-56;78;80;;-76;-64;66;71;55;64;71;61;54;64;78;-72;-54;72;60;76;64;82;-64;58;72;82;75;65;72;-81;65;70;-72;-60;;56;58;-80;79;74;77;79;70;69;60;-56;-63;65;70;68;55;74;
37;68;-56;-72;65;-56;76;55;58;79;62;78;-54;70;-63;67;64;72;74;81;80;72;-72;65;66;71;82;77;68;;60;-60;70;57;61;75;79;66;-76;76;;68;59;54;65;70;71;-64;64;56;55;62;64;72;69;73;66;82;58;74;57;78;-81;60;-80;71;-64;-80;
38;-68;54;70;53;80;60;-64;-72;78;84;76;56;76;63;66;-80;77;-60;65;69;70;75;75;75;-72;70;60;-64;70;81;73;72;78;73;63;58;64;63;55;66;-72;76;66;64;61;61;61;66;67;71;-76;59;-56;70;73;60;80;60;52;58;-64;-72;76;56;83;66;82;
