   b;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72
a
18;-80;80;69;-84;-80;72;87;65;70;77;62;65;78;80;59;-76;75;76;66;-88;83;-72;82;87;72;64;60;84;78;74;-63;;58;85;67;76;72;72;76;67;85;58;;-63;74;78;84;60;64;72;87;82;-72;83;-88;66;76;75;-76;59;80;78;65;62;77;70;65;87;72;-80;-84;69;80;
19;-68;86;65;85;63;61;68;-64;83;-72;64;76;88;73;61;-68;89;76;81;74;-60;71;68;83;-76;;90;66;70;79;78;82;70;-72;84;-72;76;76;-72;84;-72;70;82;78;79;70;66;90;;-76;83;68;71;-60;74;81;76;89;-68;61;73;88;76;64;-72;83;-64;68;61;63;85;65;86;
20;-90;78;-80;-72;88;78;-88;77;-64;77;85;67;80;66;62;58;73;75;64;63;72;84;81;63;88;-68;74;75;-64;88;78;68;70;82;69;67;70;70;67;69;82;70;68;78;88;-64;75;74;-68;88;63;81;84;72;63;64;75;73;58;62;66;80;67;85;77;-64;77;-88;78;88;-72;-80;78;
21;58;64;80;63;81;78;76;70;67;70;71;68;66;85;-68;85;60;-84;82;79;84;-76;60;-84;71;86;-81;73;60;-80;73;-60;90;78;75;70;74;74;70;75;78;90;-60;73;-80;60;73;-81;86;71;-84;60;-76;84;79;82;-84;60;85;-68;85;66;68;71;70;67;70;76;78;81;63;80;64;
22;58;64;80;63;81;78;76;70;67;70;71;68;66;85;-68;85;60;-84;82;79;84;-76;60;-84;71;86;-81;73;60;-80;73;-60;90;78;75;70;74;74;70;75;78;90;-60;73;-80;60;73;-81;86;71;-84;60;-76;84;79;82;-84;60;85;-68;85;66;68;71;70;67;70;76;78;81;63;80;64;
23;-68;83;89;-76;70;-72;;76;-72;86;-64;-68;83;82;84;90;81;64;65;68;61;68;78;-72;66;74;76;85;61;73;71;79;76;70;-60;88;63;63;88;-60;70;76;79;71;73;61;85;76;74;66;-72;78;68;61;68;65;64;81;90;84;82;83;-68;-64;86;-72;76;;-72;70;-76;89;83;
24;-68;-72;81;66;76;70;74;64;86;83;76;90;-72;79;-60;76;65;-64;89;;84;78;71;88;85;68;-68;-76;-72;82;68;73;63;61;61;83;70;70;83;61;61;63;73;68;82;-72;-76;-68;68;85;88;71;78;84;;89;-64;65;76;-60;79;-72;90;76;83;86;64;74;70;76;66;81;-72;
25;-68;66;74;83;-72;76;89;78;85;-76;68;61;70;61;73;-72;68;71;;65;79;76;64;76;-72;81;70;86;90;-60;-64;84;88;-68;82;63;83;83;63;82;-68;88;84;-64;-60;90;86;70;81;-72;76;64;76;79;65;;71;68;-72;73;61;70;61;68;-76;85;78;89;76;-72;83;74;66;
26;58;71;86;64;-84;-81;80;60;73;63;-76;60;81;84;-80;78;79;73;76;82;-60;70;-84;90;67;60;78;70;85;75;71;-68;70;68;85;74;66;66;74;85;68;70;-68;71;75;85;70;78;60;67;90;-84;70;-60;82;76;73;79;78;-80;84;81;60;-76;63;73;60;80;-81;-84;64;86;71;
27;-68;-76;;86;83;90;65;68;66;85;71;70;63;-60;79;61;74;78;68;81;82;-64;76;70;83;89;-72;-72;-68;84;64;61;-72;76;73;76;88;88;76;73;76;-72;61;64;84;-68;-72;-72;89;83;70;76;-64;82;81;68;78;74;61;79;-60;63;70;71;85;66;68;65;90;83;86;;-76;
